Date,Open,High,Low,Close,Adj Close,Volume
2011-01-11,94.79000091552734,94.79000091552734,92.44999694824219,93.30999755859375,79.5085220336914,2635500
2011-01-12,93.91999816894531,95.13999938964844,93.27999877929688,95.0,80.94853210449219,3155100
2011-01-13,94.91000366210938,96.16999816894531,94.62000274658203,95.62999725341797,81.48534393310547,2725900
2011-01-14,95.6500015258789,97.0,95.30999755859375,95.83000183105469,81.65576934814453,2600400
2011-01-18,96.30999755859375,96.79000091552734,95.08000183105469,95.80000305175781,81.6302261352539,1565300
2011-01-19,95.62999725341797,95.72000122070312,93.56999969482422,94.33999633789062,80.38616943359375,2039200
2011-01-20,93.54000091552734,94.0199966430664,92.79000091552734,93.51000213623047,79.67890930175781,2253300
2011-01-21,94.41999816894531,94.63999938964844,92.87000274658203,93.33999633789062,79.53404998779297,1872300
2011-01-24,93.12000274658203,94.44000244140625,92.97000122070312,94.37000274658203,80.41173553466797,2037800
2011-01-25,94.02999877929688,94.3499984741211,93.30000305175781,93.98999786376953,80.08793640136719,1418600
2011-01-26,94.12999725341797,94.7699966430664,93.2699966430664,94.30999755859375,80.36060333251953,2180700
2011-01-27,94.41000366210938,94.83999633789062,93.80000305175781,94.36000061035156,80.4031753540039,1862300
2011-01-28,94.5199966430664,94.63999938964844,90.18000030517578,90.4800033569336,77.09710693359375,4654200
2011-01-31,91.0,91.5,90.01000213623047,90.31999969482422,76.96076202392578,3088700
2011-02-01,92.75,93.95999908447266,92.27999877929688,92.69000244140625,78.98019409179688,4049700
2011-02-02,92.06999969482422,92.12999725341797,90.5199966430664,90.80000305175781,77.36976623535156,4172700
2011-02-03,91.94000244140625,92.30000305175781,91.0999984741211,91.45999908447266,77.93214416503906,3933100
2011-02-04,91.5999984741211,91.81999969482422,90.54000091552734,91.73999786376953,78.17070770263672,1986800
2011-02-07,91.83999633789062,92.75,91.30000305175781,91.45999908447266,77.93214416503906,2144200
2011-02-08,91.37999725341797,92.4000015258789,91.16999816894531,92.05000305175781,78.43487548828125,1652500
2011-02-09,91.70999908447266,92.16999816894531,91.0,91.5999984741211,78.05144500732422,1762300
2011-02-10,91.30999755859375,94.69000244140625,91.30999755859375,94.44000244140625,80.47138977050781,3024600
2011-02-11,93.87000274658203,95.88999938964844,93.80000305175781,95.41999816894531,81.30641174316406,2038800
2011-02-14,95.02999877929688,95.69999694824219,93.80999755859375,93.98999786376953,80.08793640136719,2822100
2011-02-15,95.01000213623047,96.69999694824219,94.88999938964844,95.9800033569336,81.7835693359375,5403500
2011-02-16,96.37000274658203,97.0999984741211,95.9000015258789,96.83999633789062,82.51640319824219,2249500
2011-02-17,96.38999938964844,97.69999694824219,96.37000274658203,97.47000122070312,83.0531997680664,1513800
2011-02-18,97.86000061035156,98.5199966430664,97.30999755859375,98.31999969482422,83.77748107910156,2434800
2011-02-22,96.05000305175781,96.19999694824219,92.91000366210938,93.29000091552734,79.49146270751953,3847200
2011-02-23,93.0999984741211,93.11000061035156,87.54000091552734,89.25,76.04901885986328,7028500
2011-02-24,89.3499984741211,90.76000213623047,89.08000183105469,89.80999755859375,76.52620697021484,3940600
2011-02-25,90.56999969482422,90.91999816894531,89.75,89.87999725341797,76.58584594726562,2600500
2011-02-28,91.01000213623047,91.0199966430664,89.7699966430664,90.0199966430664,76.70513153076172,2299600
2011-03-01,90.56999969482422,90.58000183105469,87.5999984741211,87.87999725341797,74.88168334960938,4843700
2011-03-02,88.01000213623047,88.6500015258789,86.31999969482422,87.31999969482422,74.40445709228516,3989400
2011-03-03,88.33000183105469,90.58000183105469,88.18000030517578,89.79000091552734,76.50914764404297,4555900
2011-03-04,89.87000274658203,90.0,87.80000305175781,88.69000244140625,75.57186889648438,2747800
2011-03-07,88.87999725341797,89.37999725341797,87.11000061035156,88.26000213623047,75.20542907714844,3360200
2011-03-08,88.2699966430664,90.30000305175781,88.2699966430664,89.94999694824219,76.6454849243164,3590900
2011-03-09,89.52999877929688,91.0,89.0,90.77999877929688,77.35272216796875,2630800
2011-03-10,89.72000122070312,91.33000183105469,88.80000305175781,89.94999694824219,76.6454849243164,3273600
2011-03-11,90.08000183105469,91.25,89.86000061035156,90.70999908447266,77.29308319091797,2942900
2011-03-14,89.72000122070312,89.86000061035156,87.19999694824219,88.62999725341797,75.52072143554688,5338000
2011-03-15,86.0199966430664,89.05999755859375,85.97000122070312,87.79000091552734,74.80497741699219,3925800
2011-03-16,87.36000061035156,87.66000366210938,85.02999877929688,85.27999877929688,72.76568603515625,4906800
2011-03-17,89.79000091552734,90.4000015258789,87.48999786376953,87.88999938964844,74.99267578125,6607500
2011-03-18,90.0999984741211,90.20999908447266,88.2699966430664,89.27999877929688,76.1787109375,3956300
2011-03-21,90.37000274658203,90.4800033569336,89.61000061035156,89.86000061035156,76.67361450195312,2140600
2011-03-22,89.66999816894531,89.68000030517578,88.19000244140625,88.29000091552734,75.33396911621094,1950500
2011-03-23,87.83000183105469,89.37999725341797,87.05000305175781,88.95999908447266,75.90567016601562,1950600
